Abelia ×grandiflora
Geranium viscosissimum
Geum canadense
Geum laciniatum
Geum macrophyllum
Geum rivale
Geum rossii
Geum triflorum
Geum vernum
Gilia leptantha
Ginkgo biloba
Glandularia maritima
Glaux maritima
Gleditsia aquatica
Gleditsia triacanthos
Glinus lotoides
Gliricidia sepium
Glyceria borealis
Glyceria canadensis
Glyceria melicaria
Glyceria obtusa
Glyceria striata
Glycine max
Glycyrrhiza lepidota
Glyphis cicatricosa
Gonocarpus acanthocarpus
Gordonia lasianthus
Gossypium tomentosum
Gracilariopsis chorda
Grammitis aspleniifolia
Graphidium aphthosae
Grateloupia asiatica
Grayia spinosa
Grevillea robusta
Grimmia laevigata
Guaiacum officinale
Guaiacum sanctum
Guarea guidonia
Gunnera petaloidea
Gutierrezia sarothrae
Gyalecta kukriensis
Gyalidea roseola
Gymnocladus dioicus
Gynerium sagittatum
Gypsoplaca macrophylla
Gyrothyra underwoodiana
Haematomma accolens
Haematomma persoonii
Hafellnera parasemella
Halesia carolina
Halesia diptera
Halimodendron halodendron
Hamamelis virginiana
Haplomitrium hookeri
Hedera helix
Hedysarum alpinum
Hedysarum boreale
Hedysarum sulphurescens
Helenium autumnale
Helenium bigelovii
Helenium flexuosum
Helianthella uniflora
Helianthus angustifolius
Helianthus annuus
